 Total battles: 1123126
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 27.07706% | 608219 | 27.077% | 479480 | 26.915% | 
 | 2    | Kingambit          | 18.29385% | 410926 | 18.294% | 283207 | 15.898% | 
 | 3    | Gholdengo          | 16.27533% | 365585 | 16.275% | 283445 | 15.911% | 
 | 4    | Dragonite          | 15.43509% | 346711 | 15.435% | 253695 | 14.241% | 
 | 5    | Dragapult          | 15.27807% | 343184 | 15.278% | 268785 | 15.088% | 
 | 6    | Ogerpon-Wellspring | 15.11540% | 339530 | 15.115% | 273480 | 15.352% | 
 | 7    | Iron Valiant       | 12.93096% | 290462 | 12.931% | 210065 | 11.792% | 
 | 8    | Raging Bolt        | 12.44237% | 279487 | 12.442% | 213915 | 12.008% | 
 | 9    | Zamazenta          | 12.34986% | 277409 | 12.350% | 204079 | 11.456% | 
 | 10   | Slowking-Galar     | 12.13203% | 272516 | 12.132% | 229964 | 12.909% | 
 | 11   | Landorus-Therian   | 11.83233% | 265784 | 11.832% | 235631 | 13.227% | 
 | 12   | Hatterene          | 11.56691% | 259822 | 11.567% | 202990 | 11.395% | 
 | 13   | Corviknight        | 11.55601% | 259577 | 11.556% | 211396 | 11.867% | 
 | 14   | Gliscor            | 11.21188% | 251847 | 11.212% | 208127 | 11.683% | 
 | 15   | Cinderace          | 10.06405% | 226064 | 10.064% | 179220 | 10.060% | 
 | 16   | Iron Moth          |  9.25364% | 207860 |  9.254% | 159904 |  8.976% | 
 | 17   | Ting-Lu            |  9.02851% | 202803 |  9.029% | 175370 |  9.844% | 
 | 18   | Iron Treads        |  8.96458% | 201367 |  8.965% | 167713 |  9.414% | 
 | 19   | Samurott-Hisui     |  8.76139% | 196803 |  8.761% | 175381 |  9.845% | 
 | 20   | Ceruledge          |  8.66363% | 194607 |  8.664% | 148665 |  8.345% | 
 | 21   | Kyurem             |  8.54045% | 191840 |  8.540% | 153256 |  8.603% | 
 | 22   | Scizor             |  8.53867% | 191800 |  8.539% | 155428 |  8.725% | 
 | 23   | Glimmora           |  7.98419% | 179345 |  7.984% | 158678 |  8.907% | 
 | 24   | Alomomola          |  7.89008% | 177231 |  7.890% | 146892 |  8.246% | 
 | 25   | Darkrai            |  7.79699% | 175140 |  7.797% | 134823 |  7.568% | 
 | 26   | Pecharunt          |  7.56095% | 169838 |  7.561% | 137511 |  7.719% | 
 | 27   | Zapdos             |  7.46029% | 167577 |  7.460% | 141372 |  7.936% | 
 | 28   | Garganacl          |  7.21357% | 162035 |  7.214% | 130414 |  7.321% | 
